idkolegij,kolegij_naziv,semestar,ects,predavanja,laboratorijske,auditorne,studij,smjer,godina,idprofil,profil_naziv,idnositelj,ime,prezime,titula
1,test1                                             ,ljetni,1,1,1,1,preddiplomski                 ,Računarstvo                                       ,1,1,Audiotehnologije i elektroakustika                ,1,Gordan              ,Gledec                        ,Prof. dr. sc.       
222533,Digitalni integrirani sklopovi                    ,ljetni,5,45,12,6,diplomski                     ,Elektrotehnika i informacijska tehnologija        ,1,4,Elektronika                                       ,24,Vladimir            ,Čeperić                       ,Izv. prof. dr. sc.  
222596,Osnove robotike                                   ,zimski,5,45,13,15,diplomski                     ,Informacijska i komunikacijska tehnologija        ,1,6,Automatika i robotika                             ,21,Matko               ,Orsag                         ,Izv. prof. dr. sc.  
222596,Osnove robotike                                   ,zimski,5,45,13,15,diplomski                     ,Informacijska i komunikacijska tehnologija        ,1,6,Automatika i robotika                             ,20,Zdenko              ,Kovačić                       ,Prof. dr. sc.       
222792,Svemirske tehnologije                             ,ljetni,5,45,6,0,diplomski                     ,Informacijska i komunikacijska tehnologija        ,1,8,Komunikacijske i svemirske tehnologije            ,27,Josip               ,Lončar                        ,Doc. dr. sc.        
222792,Svemirske tehnologije                             ,ljetni,5,45,6,0,diplomski                     ,Informacijska i komunikacijska tehnologija        ,1,8,Komunikacijske i svemirske tehnologije            ,26,Tomislav            ,Kos                           ,Prof. dr. sc.       
222792,Svemirske tehnologije                             ,ljetni,5,45,6,0,diplomski                     ,Informacijska i komunikacijska tehnologija        ,1,8,Komunikacijske i svemirske tehnologije            ,25,Dubravko            ,Babić                         ,Izv. prof. dr. sc.  
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,9,Programsko inženjerstvo i informacijski sustavi   ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,9,Programsko inženjerstvo i informacijski sustavi   ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,10,Računalno inženjerstvo                            ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,10,Računalno inženjerstvo                            ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,11,Računalno modeliranje u inženjerstvu              ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,11,Računalno modeliranje u inženjerstvu              ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,12,Računarska znanost                                ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,12,Računarska znanost                                ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,13,Znanost o mrežama                                 ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,13,Znanost o mrežama                                 ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,14,Znanost o podacima                                ,23,Marko               ,Horvat                        ,Doc. dr. sc.        
222496,Napredni algoritmi i strukture podataka           ,zimski,5,45,15,6,diplomski                     ,Računarstvo                                       ,1,14,Znanost o podacima                                ,22,Mario               ,Brčić                         ,Doc. dr. sc.        
183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,,,6,Mirko               ,Randić                        ,Izv. prof. dr. sc.  
183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,,,5,Boris               ,Milašinović                   ,Izv. prof. dr. sc.  
183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,,,4,Krešimir            ,Pripužić                      ,Izv. prof. dr. sc.  
183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,,,3,Mario               ,Kušek                         ,Prof. dr. sc.       
183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,,,16,Bojan               ,Trkulja                       ,Prof. dr. sc.       
183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,,,15,Željko              ,Štih                          ,Prof. dr. sc.       
183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,,,14,Martin              ,Dadić                         ,Prof. dr. sc.       
183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,,,13,Sead                ,Berberović                    ,Prof. dr. sc.       
183357,Uvod u programiranje                              ,zimski,7,60,18,0,preddiplomski                 ,,1,,,2,Vedran              ,Mornar                        ,Prof. dr. sc.       
183357,Uvod u programiranje                              ,zimski,7,60,18,0,preddiplomski                 ,,1,,,1,Gordan              ,Gledec                        ,Prof. dr. sc.       
229862,Uvod u umjetnu inteligenciju                      ,ljetni,4,45,15,0,preddiplomski                 ,Računarstvo                                       ,3,,,19,Bojana              ,Dalbelo Bašić                 ,Prof. dr. sc.       
229862,Uvod u umjetnu inteligenciju                      ,ljetni,4,45,15,0,preddiplomski                 ,Računarstvo                                       ,3,,,18,Marko               ,Čupić                         ,Izv. prof. dr. sc.  
229862,Uvod u umjetnu inteligenciju                      ,ljetni,4,45,15,0,preddiplomski                 ,Računarstvo                                       ,3,,,17,Jan                 ,Šnajder                       ,Izv. prof. dr. sc.  
183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,,,9,Zvonko              ,Kostanjčar                    ,Izv. prof. dr. sc.  
183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,,,8,Igor                ,Lacković                      ,Prof. dr. sc.       
183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,,,7,Dražen              ,Jurišić                       ,Prof. dr. sc.       
183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,,,2,Vedran              ,Mornar                        ,Prof. dr. sc.       
183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,,,12,Mile                ,Šikić                         ,Prof. dr. sc.       
183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,,,11,Mirjana             ,Domazet-Lošo                  ,Izv. prof. dr. sc.  
183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,,,10,Ivica               ,Botički                       ,Prof. dr. sc.       
